title,link,authors_and_info,citation_info
Hyperspectral image data analysis,https://ieeexplore.ieee.org/abstract/document/974718/,"D Landgrebe - IEEE Signal processing magazine, 2002 - ieeexplore.ieee.org",[PDF] lu.lv
Recent advances in techniques for hyperspectral image processing,https://www.sciencedirect.com/science/article/pii/S0034425709000807,"A Plaza, JA Benediktsson, JW Boardman… - Remote sensing of …, 2009 - Elsevier",[PDF] academia.edu
Hyperspectral remote sensing data analysis and future challenges,https://ieeexplore.ieee.org/abstract/document/6555921/,"JM Bioucas-Dias, A Plaza… - … and remote sensing …, 2013 - ieeexplore.ieee.org",[PDF] academia.edu
[HTML][HTML] Recent advances of hyperspectral imaging technology and applications in agriculture,https://www.mdpi.com/2072-4292/12/16/2659,"B Lu, PD Dao, J Liu, Y He, J Shang - Remote Sensing, 2020 - mdpi.com",[HTML] mdpi.com
Is there a best hyperspectral detection algorithm?,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7334/733402/Is-there-a-best-hyperspectral-detection-algorithm/10.1117/12.816917.short,"D Manolakis, R Lockwood, T Cooley… - … , hyperspectral, and …, 2009 - spiedigitallibrary.org",[PDF] mit.edu
Modern trends in hyperspectral image analysis: A review,https://ieeexplore.ieee.org/abstract/document/8314827/,"MJ Khan, HS Khan, A Yousaf, K Khurshid… - Ieee …, 2018 - ieeexplore.ieee.org",[PDF] ieee.org
[图书][B] Hyperspectral data processing: algorithm design and analysis,https://books.google.com/books?hl=zh-CN&lr=&id=uP1gRRfkMxgC&oi=fnd&pg=PR23&dq=hyperspectral&ots=K05i4SuLZY&sig=fa1Rihem-6UFybwfDshFCc7_Yog,CI Chang - 2013 - books.google.com,   被引用次数：661 相关文章 所有 6 个版本 
Medical hyperspectral imaging: a review,https://www.spiedigitallibrary.org/journals/Journal-of-Biomedical-Optics/volume-19/issue-1/010901/Medical-hyperspectral-imaging-a-review/10.1117/1.JBO.19.1.010901.short,"G Lu, B Fei - Journal of biomedical optics, 2014 - spiedigitallibrary.org",[PDF] spiedigitallibrary.org
Deep learning-based classification of hyperspectral data,https://ieeexplore.ieee.org/abstract/document/6844831/,"Y Chen, Z Lin, X Zhao, G Wang… - IEEE Journal of Selected …, 2014 - ieeexplore.ieee.org",[PDF] ieee.org
Hyperspectral image analysis. A tutorial,https://www.sciencedirect.com/science/article/pii/S0003267015011691,"JM Amigo, H Babamoradi, S Elcoroaristizabal - Analytica chimica acta, 2015 - Elsevier",   被引用次数：369 相关文章 所有 6 个版本 
